starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 17:25:00-07",22.57,34.02,96,22,31.09,103,23.36,29.42,111,
"2017-07-10 17:30:00-07",31.09,21.18,80,30.18,24.68,75,18.73,26.39,76,
"2017-07-10 17:35:00-07",29.25,25.22,93,22.33,26.29,85,18.92,27.76,95,
"2017-07-10 17:40:00-07",27.73,26.33,104,24.73,30.13,121,18.2,31.96,134,
"2017-07-10 17:45:00-07",21.93,31.85,111,22.14,33.08,112,18.71,32.97,134,
"2017-07-10 17:50:00-07",32.27,21.7,106,29.47,23.2,113,23.07,25.25,128,
"2017-07-10 17:55:00-07",30.14,22.89,107,33.64,23.87,91,19.07,28.25,110,
"2017-07-10 18:00:00-07",32.67,23.98,103,26.87,26.75,133,18.87,30.29,130,
"2017-07-10 18:05:00-07",29.71,25.04,106,27.86,26.52,116,19.29,29.46,118,
"2017-07-10 18:10:00-07",21,37.58,85,18.27,38.14,87,17.18,38.6,98,
"2017-07-10 18:15:00-07",14.58,50.98,66,14.75,48.58,101,10.75,53.25,96,
"2017-07-10 18:20:00-07",6.13,63.75,64,8.33,68.58,95,6.13,75.13,99,
"2017-07-10 18:25:00-07",5.29,62.33,57,7.79,72.24,90,5.29,74.13,90,
"2017-07-10 18:30:00-07",6.67,62.5,28,7.44,69.18,51,4.33,70.74,47,
"2017-07-10 18:35:00-07",7.93,62.19,63,9.64,69.12,101,6.57,74.11,103,
"2017-07-10 18:40:00-07",5.33,64.28,67,7.8,70.46,100,5.47,73.57,93,
"2017-07-10 18:45:00-07",5.14,64.28,50,8.14,71.14,88,4.71,73.88,80,
"2017-07-10 18:50:00-07",8.87,61.99,73,5.8,71.93,85,5.53,72.96,90,
"2017-07-10 18:55:00-07",7.71,64.77,66,5.5,71.42,76,4,75.19,69,
"2017-07-10 19:00:00-07",6.93,63.1,71,7.93,68.27,97,4.67,71.86,84,
"2017-07-10 19:05:00-07",6.79,65.98,55,5.71,67.39,61,4.43,73.76,74,
"2017-07-10 19:10:00-07",7.13,64.08,65,8.47,71.34,99,2.6,74.4,55,
"2017-07-10 19:15:00-07",6.86,65.08,73,5.43,70.55,74,4.57,70.84,73,
"2017-07-10 19:20:00-07",6.07,63.96,68,7.47,70.05,73,5,75.48,91,
"2017-07-10 19:25:00-07",6.79,64.56,59,6.14,69.36,74,3.71,76,70,
"2017-07-10 19:30:00-07",7.33,60.96,56,8.07,70.73,82,4.8,73.4,80,
"2017-07-10 19:35:00-07",7.5,64.53,59,8.21,69.04,85,3.43,72.85,61,
"2017-07-10 19:40:00-07",6.33,64.08,66,4.53,68.64,59,4.53,72.67,88,
"2017-07-10 19:45:00-07",6.43,61.1,62,5.64,67.81,75,3.43,72.08,60,
"2017-07-10 19:50:00-07",8.73,60.65,86,7.27,66.84,85,3.93,72.46,69,
"2017-07-10 19:55:00-07",7.71,61.14,69,4.5,67.43,51,3.64,69.6,60,
"2017-07-10 20:00:00-07",6.9,61.89,47,6.2,68.29,49,1.7,73.15,26,
"2017-07-10 20:05:00-07",8.14,64.63,70,6.14,67.71,70,3.43,71.97,60,
"2017-07-10 20:10:00-07",6.8,64.58,73,4.6,68.84,64,2.93,69.26,46,
"2017-07-10 20:15:00-07",6.93,61.58,64,4.86,66.68,56,4.21,70.95,65,
"2017-07-10 20:20:00-07",5.73,65.52,54,6.8,70.29,69,1.93,73.18,44,
"2017-07-10 20:25:00-07",4.79,67.43,35,7.29,68.42,81,2.29,72.26,46,
"2017-07-10 20:30:00-07",3.93,62.27,45,4.47,69.79,67,2.13,69.45,44,
"2017-07-10 20:35:00-07",4.57,62.87,47,4.5,71.55,62,2.79,63.32,47,
"2017-07-10 20:40:00-07",4.93,64.04,52,6.33,68.31,85,2.8,71.77,60,
"2017-07-10 20:45:00-07",7.57,61.53,51,5.43,66.27,48,3.21,70.13,56,
