starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 10:25:00-07",6.55,66.45,78,6.82,65.44,71,8.55,63.46,71
"2017-08-20 10:30:00-07",9.21,66.9,139,9.86,66.74,115,7.43,65.3,92
"2017-08-20 10:35:00-07",8.45,67.91,107,9.09,67.96,83,8.73,62.46,74
"2017-08-20 10:40:00-07",10.29,64.27,149,8.71,66.31,118,9.14,60.38,85
"2017-08-20 10:45:00-07",8,66.98,103,10.27,67.77,97,8.91,61.22,72
"2017-08-20 10:50:00-07",9.79,65.48,146,8.86,66.34,122,10.21,61.82,110
"2017-08-20 10:55:00-07",9.73,65.8,115,8.55,66.03,91,8.82,61.8,79
"2017-08-20 11:00:00-07",10.71,65.76,157,9.5,65.52,126,8,58.67,75
"2017-08-20 11:05:00-07",12.2,64,65,10.6,62.82,44,11.2,58.71,38
"2017-08-20 11:10:00-07",9.36,65.22,143,9.43,63.88,119,9.07,61.03,98
"2017-08-20 11:15:00-07",8.91,64.34,102,8.36,64.71,84,7.55,61.31,67
"2017-08-20 11:20:00-07",10.29,65.93,149,9.36,65.42,124,9.07,62.12,101
"2017-08-20 11:25:00-07",9.64,64.98,115,9.18,65.82,88,7.73,59.95,65
"2017-08-20 11:30:00-07",8.07,67.64,129,8.57,66.8,123,8.36,63.4,106
"2017-08-20 11:35:00-07",7.27,68.81,91,9.36,68.36,101,6.91,63.11,71
"2017-08-20 11:40:00-07",8.93,64.41,138,9.86,64.76,124,7.86,61.77,106
"2017-08-20 11:45:00-07",11.73,60.24,129,11.91,58.94,99,12.64,52.72,89
"2017-08-20 11:50:00-07",11.36,62.98,161,7.71,63.35,99,9.79,58.58,114
"2017-08-20 11:55:00-07",11.18,63.81,128,10.36,64.67,91,8,60.95,74
"2017-08-20 12:00:00-07",9.07,64.25,133,9.07,63.71,117,7.79,58.56,102
"2017-08-20 12:05:00-07",10.64,61.91,113,9,63.16,85,9.64,59.82,94
